Model,Dataset,Metric,Value,Split
RF,Train,RMSE,5.618391,10
RF,Train,MAE,3.146474,10
RF,Train,R2,0.992447,11
RF,Train,RMSE,5.351145,11
RF,Train,MAE,3.076294,11
RF,Train,R2,0.991899,12
RF,Train,RMSE,5.435038,12
RF,Train,MAE,3.060171,12
RF,Train,R2,0.992220,13
RF,Train,RMSE,5.408659,13
RF,Train,MAE,2.997720,13
RF,Train,R2,0.990496,14
RF,Train,RMSE,5.835199,14
RF,Train,MAE,3.288779,14
RF,Train,R2,0.992047,15
RF,Train,RMSE,5.642790,15
RF,Train,MAE,2.929360,15
RF,Train,R2,0.992844,16
RF,Train,RMSE,5.269444,16
RF,Train,MAE,3.184809,16
RF,Train,R2,0.992368,17
RF,Train,RMSE,5.422010,17
RF,Train,MAE,3.145006,17
RF,Train,R2,0.992082,18
RF,Train,RMSE,5.443653,18
RF,Train,MAE,3.072380,18
RF,Train,R2,0.990382,19
RF,Train,RMSE,6.086117,19
RF,Train,MAE,3.349410,19
RF,Train,R2,0.991253,20
RF,Train,RMSE,5.844522,20
RF,Train,MAE,3.134117,20
RF,Train,R2,0.993544,21
RF,Train,RMSE,5.031747,21
RF,Train,MAE,2.887923,21
RF,Train,R2,0.993098,22
RF,Train,RMSE,5.144945,22
RF,Train,MAE,3.003958,22
RF,Train,R2,0.991136,23
RF,Train,RMSE,5.976458,23
RF,Train,MAE,3.230687,23
RF,Train,R2,0.991446,24
RF,Train,RMSE,5.843119,24
RF,Train,MAE,3.134510,24
RF,Train,R2,0.991709,25
RF,Train,RMSE,5.610884,25
RF,Train,MAE,3.118169,25
RF,Train,R2,0.991165,26
RF,Train,RMSE,5.935143,26
RF,Train,MAE,3.235967,26
RF,Train,R2,0.992036,27
RF,Train,RMSE,5.692093,27
RF,Train,MAE,3.192543,27
RF,Train,R2,0.993323,28
RF,Train,RMSE,5.055660,28
RF,Train,MAE,2.892874,28
RF,Train,R2,0.993491,29
RF,Train,RMSE,4.991962,29
RF,Train,MAE,2.884768,29
RF,Train,R2,0.992557,30
RF,Train,RMSE,5.288697,30
RF,Train,MAE,3.139244,30
RF,Train,R2,0.993460,31
RF,Train,RMSE,5.034977,31
RF,Train,MAE,2.880884,31
RF,Train,R2,0.991244,32
RF,Train,RMSE,5.842053,32
RF,Train,MAE,3.206149,32
RF,Train,R2,0.990668,33
RF,Train,RMSE,5.971704,33
RF,Train,MAE,3.265300,33
RF,Train,R2,0.992623,34
RF,Train,RMSE,5.391667,34
RF,Train,MAE,2.970184,34
RF,Train,R2,0.994909,35
RF,Train,RMSE,4.531539,35
RF,Train,MAE,2.796106,35
RF,Train,R2,0.991903,36
RF,Train,RMSE,5.711625,36
RF,Train,MAE,3.045968,36
RF,Train,R2,0.992431,37
RF,Train,RMSE,5.527875,37
RF,Train,MAE,2.980499,37
RF,Train,R2,0.993427,38
RF,Train,RMSE,5.032200,38
RF,Train,MAE,2.982368,38
RF,Train,R2,0.991139,39
RF,Train,RMSE,5.884116,39
RF,Train,MAE,3.180590,39
RF,Train,R2,0.989676,40
RF,Train,RMSE,6.171623,40
RF,Train,MAE,3.409760,40
RF,Train,R2,0.991663,41
RF,Train,RMSE,5.641027,41
RF,Train,MAE,3.172208,41
RF,Train,R2,0.992459,42
RF,Train,RMSE,5.429951,42
